Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,Sample Measurement,Units of Measure,MDL,fire_occurred
32.7404,-115.4679,303.7,2.5,1.5,283.9,17.2,D,0,3.7,Knots,0.1,0
32.7404,-115.4679,303.7,2.5,1.5,283.9,17.2,D,0,27.0,Degrees Compass,0.1,0
35.1077,-119.3546,306.4,2.7,1.6,283.6,34.9,D,0,4.5,Knots,0.1,1
35.1077,-119.3546,306.4,2.7,1.6,283.6,34.9,D,0,283.7,Degrees Compass,0.1,1
34.1187,-117.9461,306.0,1.1,1.0,294.5,4.4,D,2,0.5,Knots,0.1,0
34.1187,-117.9461,306.0,1.1,1.0,294.5,4.4,D,2,69.0,Degrees Compass,1.0,0
34.1206,-117.9347,307.5,1.1,1.0,295.0,5.3,D,2,0.5,Knots,0.1,1
34.1206,-117.9347,307.5,1.1,1.0,295.0,5.3,D,2,69.0,Degrees Compass,1.0,1
36.0235,-119.0682,307.6,1.1,1.0,290.6,8.0,D,0,3.2,Knots,0.1,1
36.0235,-119.0682,307.6,1.1,1.0,290.6,8.0,D,0,80.6,Degrees Compass,0.1,1
36.0216,-119.0798,323.3,1.1,1.0,290.3,22.5,D,0,3.2,Knots,0.1,1
36.0216,-119.0798,323.3,1.1,1.0,290.3,22.5,D,0,80.6,Degrees Compass,0.1,1
39.309,-121.6744,309.6,1.8,1.3,283.2,26.9,D,0,8.9,Knots,0.1,1
39.309,-121.6744,309.6,1.8,1.3,283.2,26.9,D,0,342.0,Degrees Compass,0.1,1
39.3077,-121.6569,302.8,1.8,1.3,283.4,15.0,D,0,8.9,Knots,0.1,0
39.3077,-121.6569,302.8,1.8,1.3,283.4,15.0,D,0,342.0,Degrees Compass,0.1,0
39.3034,-121.6772,305.0,1.8,1.3,283.2,18.3,D,0,8.9,Knots,0.1,1
39.3034,-121.6772,305.0,1.8,1.3,283.2,18.3,D,0,342.0,Degrees Compass,0.1,1
36.2628,-117.9804,301.2,1.1,1.1,285.2,4.7,D,0,4.0,Knots,0.1,0
36.2628,-117.9804,301.2,1.1,1.1,285.2,4.7,D,0,156.8,Degrees Compass,0.1,0
36.2628,-117.9804,301.2,1.1,1.1,285.2,4.7,D,0,1.3,Knots,0.1,0
36.2628,-117.9804,301.2,1.1,1.1,285.2,4.7,D,0,169.2,Degrees Compass,0.1,0
37.6763,-121.3764,303.4,1.0,1.0,286.0,6.7,D,0,2.3,Knots,0.1,0
37.6763,-121.3764,303.4,1.0,1.0,286.0,6.7,D,0,265.5,Degrees Compass,0.1,0
35.2066,-118.8455,309.6,1.2,1.1,293.8,7.5,D,0,3.1,Knots,0.1,1
35.2066,-118.8455,309.6,1.2,1.1,293.8,7.5,D,0,20.0,Degrees Compass,0.1,1
37.2783,-120.3913,312.0,1.5,1.2,287.9,18.6,D,0,4.5,Knots,0.1,1
37.2783,-120.3913,312.0,1.5,1.2,287.9,18.6,D,0,226.8,Degrees Compass,0.1,1
39.2561,-121.7092,304.7,2.4,1.5,288.6,21.2,D,0,3.6,Knots,0.1,0
39.2561,-121.7092,304.7,2.4,1.5,288.6,21.2,D,0,161.0,Degrees Compass,0.1,0
39.2519,-121.7119,301.5,2.4,1.5,288.2,15.1,D,0,3.6,Knots,0.1,0
39.2519,-121.7119,301.5,2.4,1.5,288.2,15.1,D,0,161.0,Degrees Compass,0.1,0
37.6307,-120.9674,302.9,1.2,1.1,289.5,4.1,D,2,1.1,Knots,0.1,0
37.6307,-120.9674,302.9,1.2,1.1,289.5,4.1,D,2,152.0,Degrees Compass,0.1,0
32.8266,-115.5609,326.3,1.2,1.1,306.8,19.0,D,2,2.1,Knots,0.1,1
32.8266,-115.5609,326.3,1.2,1.1,306.8,19.0,D,2,335.9,Degrees Compass,0.1,1
37.0402,-119.9627,314.7,1.0,1.0,292.4,11.8,D,0,3.9,Knots,0.1,1
37.0402,-119.9627,314.7,1.0,1.0,292.4,11.8,D,0,335.2,Degrees Compass,0.1,1
36.2306,-119.8393,305.3,1.0,1.0,293.1,4.5,D,0,6.9,Knots,0.1,0
36.2306,-119.8393,305.3,1.0,1.0,293.1,4.5,D,0,343.0,Degrees Compass,0.1,0
34.0699,-117.4973,312.6,1.1,1.0,296.8,3.8,D,2,8.3,Knots,0.1,0
34.0699,-117.4973,312.6,1.1,1.0,296.8,3.8,D,2,233.0,Degrees Compass,1.0,0
34.0699,-117.4973,312.6,1.1,1.0,296.8,3.8,D,2,6.8,Knots,0.1,0
34.0699,-117.4973,312.6,1.1,1.0,296.8,3.8,D,2,221.0,Degrees Compass,1.0,0
39.2753,-121.7414,312.1,2.0,1.4,285.6,29.3,D,0,2.4,Knots,0.1,1
39.2753,-121.7414,312.1,2.0,1.4,285.6,29.3,D,0,178.0,Degrees Compass,0.1,1
39.2735,-121.7183,313.5,2.0,1.4,287.0,31.2,D,0,2.4,Knots,0.1,1
39.2735,-121.7183,313.5,2.0,1.4,287.0,31.2,D,0,178.0,Degrees Compass,0.1,1
39.2708,-121.7255,320.8,2.0,1.4,286.7,49.4,D,0,2.4,Knots,0.1,1
39.2708,-121.7255,320.8,2.0,1.4,286.7,49.4,D,0,178.0,Degrees Compass,0.1,1
37.37,-118.4024,337.2,1.7,1.3,303.2,65.1,D,0,5.6,Knots,0.1,1
37.37,-118.4024,337.2,1.7,1.3,303.2,65.1,D,0,148.0,Degrees Compass,0.1,1
37.3718,-118.3836,342.3,1.7,1.3,303.2,83.9,D,2,5.6,Knots,0.1,1
37.3718,-118.3836,342.3,1.7,1.3,303.2,83.9,D,2,148.0,Degrees Compass,0.1,1
37.3813,-118.404,345.8,1.7,1.3,300.7,96.6,D,2,5.6,Knots,0.1,1
37.3813,-118.404,345.8,1.7,1.3,300.7,96.6,D,2,148.0,Degrees Compass,0.1,1
37.3832,-118.3853,350.0,1.7,1.3,299.3,115.4,D,0,5.6,Knots,0.1,1
