Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,Chance_of_fire
32.706,-115.4505,332.5,4.0,1.9,309.1,151.8,D,0,2017-05-18 20:00:00,0.1,0.460312,77
32.7106,-115.456,328.4,4.0,1.9,308.8,116.6,D,0,2017-05-18 20:00:00,0.1,0.460312,70
32.7302,-115.466,318.0,2.3,1.5,306.9,15.3,D,0,2017-10-12 19:00:00,0.1,1.265858,32
32.7762,-115.6445,316.1,3.1,1.7,300.0,39.3,D,0,2017-02-13 22:00:00,0.1,2.87695,67
32.8404,-116.8562,352.6,1.1,1.1,310.2,54.9,D,0,2017-07-11 21:00:00,0.1,3.9126519999999996,94
32.8418,-116.8449,366.9,1.1,1.1,308.7,99.8,D,0,2017-07-11 21:00:00,0.1,0.460312,100
32.8498,-116.8574,390.3,1.1,1.1,317.2,209.0,D,0,2017-07-11 21:00:00,0.1,3.9126519999999996,100
32.9899,-115.555,328.0,2.5,1.5,297.4,93.4,N,0,2017-06-28 06:00:00,0.1,6.7896019999999995,100
33.2312,-115.5374,315.2,1.3,1.1,301.9,10.1,D,0,2017-02-01 21:00:00,0.1,2.992028,52
33.2413,-115.5391,318.2,1.3,1.1,300.9,14.3,D,0,2017-02-01 21:00:00,0.1,2.992028,60
33.5644,-116.0583,308.3,2.5,1.5,285.7,39.1,N,0,2017-04-13 10:00:00,0.1,8.400694,74
33.5704,-116.0847,314.4,2.5,1.5,287.1,56.2,N,0,2017-04-13 10:00:00,0.1,8.400694,89
33.5713,-116.0613,313.6,2.5,1.5,286.6,56.6,N,0,2017-04-13 10:00:00,0.1,8.400694,87
33.5768,-116.0822,314.6,1.5,1.2,297.2,15.6,D,0,2017-11-23 21:00:00,0.1,3.2221839999999995,53
33.577,-116.0877,307.4,2.5,1.5,287.4,38.4,N,0,2017-04-13 10:00:00,0.1,8.400694,71
33.5785,-116.0664,323.4,1.5,1.2,297.3,29.8,D,0,2017-11-23 21:00:00,0.1,3.2221839999999995,74
33.5795,-116.0847,316.8,2.5,1.5,301.1,30.7,D,0,2017-11-23 18:00:00,0.1,1.265858,41
33.5819,-116.0739,327.9,1.5,1.2,297.5,38.3,D,0,2017-11-23 21:00:00,0.1,3.2221839999999995,79
33.5845,-116.0625,319.8,1.1,1.0,305.4,6.4,D,0,2017-03-24 18:00:00,0.1,1.6110919999999997,54
33.5861,-117.1402,316.0,2.0,1.4,297.4,27.4,D,0,2017-12-07 21:00:00,0.1,4.833276,74
33.5863,-116.0767,335.2,2.5,1.5,301.0,106.6,D,0,2017-11-23 18:00:00,0.1,1.265858,86
33.5921,-116.2061,339.2,1.0,1.0,318.2,18.0,D,0,2017-07-21 19:00:00,0.1,2.87695,70
33.5936,-116.2378,315.3,1.0,1.0,299.3,7.3,D,0,2017-11-10 19:00:00,0.1,3.107106,46
33.5939,-116.206,334.6,1.3,1.1,311.3,16.9,D,0,2017-08-11 19:00:00,0.1,3.7975739999999996,68
33.5943,-116.2034,334.6,1.3,1.1,317.8,16.3,D,0,2017-07-26 19:00:00,0.1,1.6110919999999997,52
33.5985,-117.1419,330.3,2.0,1.4,297.6,69.1,D,0,2017-12-07 21:00:00,0.1,4.833276,86
33.6924,-116.1672,314.4,1.0,1.0,303.7,4.5,D,0,2017-11-18 21:00:00,0.1,2.071404,55
33.7747,-118.2407,326.8,1.4,1.2,308.5,15.5,D,0,2017-06-28 18:00:00,0.1,8.170537999999999,48
33.8511,-116.9358,341.2,1.3,1.1,298.2,61.6,N,0,2017-06-27 06:00:00,0.1,9.666552,100
33.8609,-116.9389,335.3,1.3,1.1,294.8,47.8,N,0,2017-06-27 06:00:00,0.1,9.666552,100
33.8657,-116.911,308.4,1.3,1.1,294.6,10.4,N,0,2017-06-27 06:00:00,0.1,9.666552,70
33.923,-116.8739,305.6,3.5,1.8,294.9,24.0,D,0,2017-11-18 19:00:00,0.1,5.408666,47
33.9324,-116.893,315.8,1.1,1.0,294.7,14.6,N,0,2017-07-04 06:00:00,0.1,9.551474,92
33.9583,-117.4854,324.2,1.0,1.0,291.2,20.6,D,0,2017-12-04 21:00:00,0.1,24.74177,83
33.9599,-117.4746,384.2,1.0,1.0,298.1,174.2,D,0,2017-12-04 21:00:00,0.1,24.74177,100
33.9672,-117.4706,323.6,1.0,1.0,312.8,8.0,D,0,2017-10-24 21:00:00,0.1,8.861006,62
33.9898,-117.4087,301.5,3.1,1.7,291.1,17.1,D,0,2017-12-21 22:00:00,0.1,3.107106,47
33.9905,-117.4009,303.7,3.1,1.7,291.1,24.1,D,0,2017-12-21 22:00:00,0.1,3.107106,57
34.0127,-117.592,308.9,3.0,1.7,293.5,34.7,D,0,2017-12-05 22:00:00,0.1,10.011785999999999,68
34.0144,-117.5872,309.8,3.0,1.7,293.4,37.9,D,0,2017-12-05 22:00:00,0.1,10.011785999999999,68
34.0412,-117.3794,336.2,1.1,1.1,316.5,13.4,D,0,2017-07-22 21:00:00,0.1,3.3372619999999995,58
34.0419,-117.3776,336.7,1.0,1.0,320.5,12.4,D,0,2017-06-17 19:00:00,0.1,3.2221839999999995,76
34.0451,-117.3771,332.7,1.0,1.0,319.4,7.9,D,0,2017-07-03 19:00:00,0.1,3.3372619999999995,61
34.0463,-117.3769,326.1,1.0,1.0,308.4,7.3,D,0,2017-06-01 19:00:00,0.1,5.408666,56
34.0524,-118.4554,318.3,1.2,1.1,302.2,9.7,D,0,2017-05-14 19:00:00,0.1,2.87695,57
34.0644,-117.4599,333.4,1.1,1.1,317.1,8.1,D,0,2017-05-23 19:00:00,0.1,4.833276,32
34.0891,-118.5044,363.4,1.5,1.2,300.7,162.8,D,0,2017-05-28 21:00:00,0.1,0.57539,100
34.0893,-117.5349,308.7,1.1,1.0,297.5,4.8,D,0,2017-12-18 21:00:00,0.1,3.2221839999999995,64
34.0907,-117.532,304.2,1.0,1.0,287.6,3.3,D,0,2017-02-25 19:00:00,0.1,5.984056,46
34.0918,-117.537,308.3,1.0,1.0,295.9,6.0,N,0,2017-07-11 06:00:00,0.1,2.186482,74
34.0918,-117.5305,309.2,1.3,1.1,293.9,7.6,D,0,2017-02-23 19:00:00,0.1,5.868977999999999,68
34.092,-118.4884,322.1,1.5,1.2,299.1,24.4,D,0,2017-05-28 21:00:00,0.1,0.57539,43
34.0934,-117.5359,306.8,1.0,1.0,295.7,5.6,N,0,2017-07-27 06:00:00,0.1,2.071404,69
34.0937,-117.5354,302.0,1.3,1.1,288.1,5.6,D,0,2017-01-06 19:00:00,0.1,2.186482,46
34.0938,-117.5342,319.6,1.1,1.0,305.2,6.8,D,0,2017-09-23 19:00:00,0.1,4.948353999999999,63
34.0938,-117.5333,317.0,1.3,1.1,301.7,8.8,D,0,2017-03-24 18:00:00,0.1,8.170537999999999,67
34.0938,-117.5301,302.6,1.1,1.0,289.4,6.4,N,0,2017-09-27 06:00:00,0.1,1.265858,50
34.0948,-117.5331,307.4,1.0,1.0,292.3,5.7,D,0,2017-01-17 19:00:00,0.1,4.948353999999999,65
34.0949,-117.5298,301.8,1.0,1.0,289.7,5.3,N,0,2017-09-20 06:00:00,0.1,4.02773,44
34.0949,-117.5285,312.2,1.0,1.0,295.7,6.5,D,0,2017-11-17 19:00:00,0.1,4.257886,69
34.0953,-117.5332,311.0,1.3,1.1,299.5,7.1,D,0,2017-11-19 18:00:00,0.1,1.6110919999999997,64
34.0971,-117.5331,308.5,1.1,1.0,296.1,4.7,D,0,2017-01-31 19:00:00,0.1,1.841248,60
34.1255,-117.4896,319.2,3.9,1.8,307.1,52.7,D,0,2017-10-24 19:00:00,0.1,15.765685999999999,63
34.1306,-117.4809,317.7,3.9,1.8,306.7,44.9,D,0,2017-10-24 19:00:00,0.1,15.765685999999999,59
34.1495,-117.3456,320.1,3.2,1.7,291.1,91.4,D,0,2017-12-05 22:00:00,0.1,1.6110919999999997,80
34.1517,-117.3112,320.6,3.2,1.7,291.0,93.8,D,0,2017-12-05 22:00:00,0.1,6.559445999999999,80
34.1925,-117.2796,359.8,1.3,1.1,311.5,102.1,D,0,2017-07-31 21:00:00,0.1,0.920624,99
34.195,-117.2656,340.5,1.3,1.1,308.5,43.9,D,0,2017-07-31 21:00:00,0.1,0.920624,85
34.2752,-118.6877,305.9,1.1,1.1,290.5,4.9,D,0,2017-12-09 21:00:00,0.1,23.245755999999997,55
34.2767,-118.6757,306.9,1.1,1.1,290.5,5.8,D,0,2017-12-09 21:00:00,0.1,23.245755999999997,41
34.3097,-119.1364,312.1,1.3,1.1,292.3,14.2,D,0,2017-02-28 21:00:00,0.1,5.638822,68
34.3099,-119.1436,317.4,1.1,1.0,292.6,15.2,D,0,2017-02-24 21:00:00,0.1,5.638822,76
34.3112,-119.1035,331.6,1.5,1.2,299.9,45.3,D,0,2017-04-11 22:00:00,0.1,4.02773,84
34.3114,-119.132,333.6,1.1,1.0,293.5,35.8,D,0,2017-02-24 21:00:00,0.1,5.638822,88
34.313,-119.1144,302.6,1.9,1.4,291.0,12.1,D,0,2017-02-28 19:00:00,0.1,3.567418,49
34.3172,-119.1349,310.2,1.9,1.4,290.6,24.6,D,0,2017-02-28 19:00:00,0.1,3.567418,70
34.3196,-119.1258,308.0,1.3,1.1,293.2,9.5,D,0,2017-02-14 19:00:00,0.1,2.186482,64
34.3221,-119.1395,305.8,1.3,1.1,292.9,7.5,D,0,2017-02-14 19:00:00,0.1,2.186482,59
34.3236,-119.1421,306.1,2.6,1.5,283.7,38.6,N,0,2017-12-06 05:00:00,0.1,13.809359999999998,67
34.3258,-119.1494,314.5,1.1,1.0,285.6,18.1,N,0,2017-12-06 10:00:00,0.1,5.638822,89
34.3386,-119.1335,322.7,1.5,1.2,290.5,33.4,N,0,2017-12-05 06:00:00,0.1,8.05546,100
34.3459,-119.1026,311.2,2.4,1.5,295.5,23.3,D,0,2017-12-05 22:00:00,0.1,9.666552,47
34.3479,-119.0758,312.0,2.4,1.5,295.3,26.9,D,0,2017-12-05 22:00:00,0.1,9.666552,24
34.3494,-119.1357,480.0,1.5,1.2,334.5,2165.8,N,0,2017-12-05 06:00:00,0.1,8.05546,100
34.3504,-119.1942,352.6,3.8,1.8,287.1,450.4,N,0,2017-12-05 11:00:00,0.1,12.313345999999997,100
