Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,fire_occurred
32.5605,-116.9486,326.8,1.1,1.0,311.5,8.0,D,2,2019-08-10 19:00:00,0.1,4.948353999999999,0
33.1898,-115.462,328.9,2.2,1.5,301.1,49.1,D,0,2019-05-11 19:00:00,0.1,2.071404,1
33.192,-115.4681,329.3,2.2,1.5,301.4,54.8,D,0,2019-05-11 19:00:00,0.1,2.071404,1
33.229,-115.5184,327.4,3.1,1.7,295.8,118.3,D,0,2019-02-08 20:00:00,0.1,4.488041999999999,1
33.2387,-115.5487,338.3,1.2,1.1,304.9,25.2,D,0,2019-08-26 19:00:00,0.1,4.718197999999999,1
33.5641,-116.1438,326.9,4.2,1.9,306.8,114.0,D,0,2019-10-15 20:00:00,0.1,2.992028,1
33.5671,-116.1512,334.8,1.0,1.0,294.8,35.2,N,0,2019-05-30 06:00:00,0.1,2.6467939999999994,1
33.5673,-116.1483,334.5,4.2,1.9,306.9,197.4,D,0,2019-10-15 20:00:00,0.1,2.992028,1
33.5686,-116.1406,366.7,1.0,1.0,299.0,105.5,N,0,2019-05-30 06:00:00,0.1,6.099133999999999,1
33.5692,-116.1391,333.7,1.2,1.1,318.1,14.6,D,0,2019-05-30 21:00:00,0.1,4.60312,1
33.5715,-116.1495,337.2,1.0,1.0,320.5,17.9,D,0,2019-05-31 19:00:00,0.1,1.380936,1
33.5737,-116.1551,310.7,1.4,1.2,290.3,18.8,N,0,2019-10-16 06:00:00,0.1,3.7975739999999996,1
33.574,-116.1355,328.8,1.0,1.0,310.6,14.1,D,0,2019-10-15 19:00:00,0.1,1.380936,1
33.5743,-116.1439,326.1,1.3,1.1,312.7,17.1,D,0,2019-10-17 18:00:00,0.1,9.321318,1
33.5755,-116.1462,379.1,1.0,1.0,315.0,138.5,D,0,2019-10-15 19:00:00,0.1,1.380936,1
33.576,-116.1531,328.8,1.0,1.0,293.4,26.9,N,0,2019-05-30 06:00:00,0.1,2.6467939999999994,1
33.5764,-116.1405,317.7,1.4,1.2,292.1,28.0,N,0,2019-10-16 06:00:00,0.1,7.2499139999999995,1
33.5765,-116.1444,304.0,2.0,1.4,287.4,21.1,N,0,2019-05-30 10:00:00,0.1,8.05546,0
33.5775,-116.1424,358.3,1.0,1.0,295.0,81.4,N,0,2019-05-30 06:00:00,0.1,6.099133999999999,1
33.5778,-116.1434,322.7,1.1,1.1,286.2,27.2,N,0,2019-10-16 10:00:00,0.1,2.30156,1
33.5781,-116.1461,333.7,1.0,1.0,314.3,22.5,D,0,2019-10-16 21:00:00,0.1,3.567418,1
33.5805,-116.1499,320.4,4.2,1.9,304.5,62.7,D,0,2019-10-15 20:00:00,0.1,2.992028,1
33.5822,-116.1726,306.6,2.9,1.6,284.9,43.1,N,0,2019-10-15 06:00:00,0.1,4.488041999999999,1
33.5828,-116.1298,322.2,2.5,1.5,288.0,84.6,N,0,2019-10-15 09:00:00,0.1,7.595147999999999,1
33.5844,-116.1412,329.4,2.9,1.6,287.7,143.5,N,0,2019-10-15 06:00:00,0.1,7.0197579999999995,1
33.5849,-116.1563,305.6,2.5,1.5,284.4,34.6,N,0,2019-10-15 09:00:00,0.1,5.638822,1
33.5854,-116.1482,323.6,2.9,1.6,287.1,109.7,N,0,2019-10-15 06:00:00,0.1,7.0197579999999995,1
33.5874,-116.1948,335.2,1.3,1.1,316.0,19.2,D,0,2019-06-27 18:00:00,0.1,1.841248,1
33.5887,-116.2012,330.8,1.0,1.0,315.6,10.4,D,0,2019-05-31 19:00:00,0.1,2.87695,1
33.5891,-116.1946,334.7,1.0,1.0,317.3,12.5,D,0,2019-09-04 19:00:00,0.1,4.257886,1
33.5893,-116.239,351.6,1.0,1.0,320.8,44.8,D,0,2019-09-21 21:00:00,0.1,3.107106,1
33.5898,-116.1917,334.0,1.0,1.0,313.1,16.9,D,0,2019-05-24 19:00:00,0.1,4.948353999999999,1
33.5905,-116.1875,323.2,1.0,1.0,310.2,7.9,D,0,2019-10-15 19:00:00,0.1,1.9563259999999998,1
33.5908,-116.2283,358.3,1.0,1.0,317.6,60.9,D,0,2019-09-21 21:00:00,0.1,3.107106,1
33.5921,-116.1991,338.7,1.1,1.0,314.4,27.6,D,0,2019-05-01 18:00:00,0.1,3.7975739999999996,1
33.5927,-116.1941,331.2,1.3,1.1,312.1,18.4,D,0,2019-05-13 19:00:00,0.1,1.841248,1
33.5928,-116.1955,327.5,1.0,1.0,311.6,9.6,D,0,2019-05-08 19:00:00,0.1,6.674523999999999,1
33.594,-116.187,326.0,1.1,1.0,314.7,9.4,D,0,2019-10-08 18:00:00,0.1,2.6467939999999994,1
33.7341,-117.3436,340.3,3.1,1.7,314.1,115.7,D,0,2019-08-05 22:00:00,0.1,1.380936,1
33.8221,-117.1861,347.1,1.5,1.2,316.0,58.1,D,2,2019-07-13 18:00:00,0.1,6.559445999999999,1
33.8594,-118.161,329.3,1.2,1.1,307.4,17.1,D,2,2019-05-25 21:00:00,0.1,2.531716,1
33.9868,-117.4034,329.2,3.0,1.7,283.2,158.6,N,2,2019-10-31 09:00:00,0.1,8.861006,1
33.9873,-117.3987,324.7,3.0,1.7,282.7,132.8,N,2,2019-10-31 09:00:00,0.1,8.861006,1
33.9891,-117.4356,304.8,3.0,1.7,281.4,48.8,N,2,2019-10-31 09:00:00,0.1,8.861006,1
33.9894,-117.431,313.5,3.0,1.7,281.8,79.5,N,2,2019-10-31 09:00:00,0.1,8.861006,1
33.9929,-117.3871,320.2,1.0,1.0,297.5,12.8,D,2,2019-10-30 21:00:00,0.1,8.170537999999999,1
34.007,-117.379,304.5,1.1,1.1,288.6,6.5,D,2,2019-01-01 21:00:00,0.1,11.162565999999998,0
34.0092,-117.5371,327.2,1.1,1.1,311.7,6.6,D,2,2019-04-23 21:00:00,0.1,0.690468,1
34.0094,-117.5387,324.5,1.0,1.0,305.7,5.9,D,2,2019-06-01 21:00:00,0.1,3.682496,0
34.0152,-117.4911,310.7,1.0,1.0,299.6,4.8,D,2,2019-10-30 21:00:00,0.1,13.694282,0
34.0153,-117.4717,312.0,3.9,1.8,294.8,58.4,D,2,2019-10-30 19:00:00,0.1,14.499827999999999,1
34.0154,-117.4068,323.1,2.0,1.4,311.0,21.3,D,2,2019-10-26 21:00:00,0.1,1.9563259999999998,1
34.0211,-117.4656,314.1,3.9,1.8,294.9,70.6,D,0,2019-10-30 19:00:00,0.1,14.499827999999999,1
34.0212,-117.4211,322.3,1.9,1.4,310.2,20.5,D,0,2019-10-26 21:00:00,0.1,1.9563259999999998,1
34.0231,-117.4003,324.7,2.0,1.4,310.2,27.2,D,2,2019-10-26 21:00:00,0.1,1.9563259999999998,1
34.0247,-118.0529,300.9,1.0,1.0,284.7,3.4,D,2,2019-01-22 21:00:00,0.1,2.761872,0
34.0276,-117.4084,322.8,2.0,1.4,310.0,20.0,D,2,2019-10-26 21:00:00,0.1,1.9563259999999998,1
34.0311,-117.5055,306.8,3.9,1.8,294.8,30.0,D,2,2019-10-30 19:00:00,0.1,14.499827999999999,0
34.0393,-117.3724,333.9,1.0,1.0,315.8,12.5,D,2,2019-06-23 19:00:00,0.1,7.2499139999999995,1
34.0412,-117.3768,328.7,1.0,1.0,309.9,10.3,D,2,2019-06-07 19:00:00,0.1,3.682496,1
34.0532,-118.5301,320.2,4.6,2.0,302.3,101.0,D,2,2019-10-21 18:00:00,0.1,0.345234,0
34.0533,-117.6396,345.3,1.0,1.0,305.7,43.8,D,2,2019-04-30 21:00:00,0.1,4.833276,1
34.0536,-118.5356,322.6,4.6,2.0,302.3,123.1,D,2,2019-10-21 18:00:00,0.1,0.345234,1
34.0558,-118.5475,324.7,1.0,1.0,307.9,14.8,D,0,2019-10-21 21:00:00,0.1,1.035702,1
34.0575,-118.5449,327.7,4.2,1.9,301.8,160.4,D,2,2019-10-21 20:00:00,0.1,0.57539,1
34.0605,-118.5372,324.9,4.2,1.9,301.4,132.9,D,2,2019-10-21 20:00:00,0.1,0.57539,1
34.0623,-117.6415,345.4,1.0,1.0,302.2,43.5,D,2,2019-04-30 21:00:00,0.1,4.833276,1
34.0658,-118.2007,335.3,2.2,1.4,309.8,82.6,D,2,2019-10-11 21:00:00,0.1,3.3372619999999995,1
34.0708,-118.177,327.7,2.2,1.4,309.2,49.7,D,2,2019-10-11 21:00:00,0.1,3.3372619999999995,1
34.0746,-118.4927,302.1,1.7,1.3,284.6,13.2,N,2,2019-10-28 10:00:00,0.1,3.7975739999999996,0
