Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,Sample Measurement,Units of Measure,MDL,Chance_of_fire
34.4035,-119.4923,301.4,1.2,1.1,290.2,3.5,D,2,2021-01-08 19:00:00,0.6,Knots,0.1,37
34.4035,-119.4923,301.4,1.2,1.1,290.2,3.5,D,2,2021-01-08 19:00:00,58.0,Degrees Compass,0.1,37
33.9228,-116.9029,312.0,1.0,1.0,286.9,12.8,N,2,2021-01-15 10:00:00,13.9,Knots,0.1,84
33.9228,-116.9029,312.0,1.0,1.0,286.9,12.8,N,2,2021-01-15 10:00:00,93.0,Degrees Compass,1.0,84
39.5037,-122.1603,333.3,1.1,1.0,298.5,34.6,D,0,2021-01-20 21:00:00,1.5,Knots,0.1,88
39.5037,-122.1603,333.3,1.1,1.0,298.5,34.6,D,0,2021-01-20 21:00:00,300.0,Degrees Compass,0.1,88
39.5016,-122.1729,342.4,1.1,1.0,298.9,51.0,D,0,2021-01-20 21:00:00,1.5,Knots,0.1,93
39.5016,-122.1729,342.4,1.1,1.0,298.9,51.0,D,0,2021-01-20 21:00:00,300.0,Degrees Compass,0.1,93
39.5201,-122.1781,308.6,1.1,1.0,296.0,6.4,D,2,2021-01-20 21:00:00,1.5,Knots,0.1,67
39.5201,-122.1781,308.6,1.1,1.0,296.0,6.4,D,2,2021-01-20 21:00:00,300.0,Degrees Compass,0.1,67
37.6755,-121.3513,301.3,1.1,1.0,285.7,5.8,D,0,2021-01-25 21:00:00,11.9,Knots,0.1,46
37.6755,-121.3513,301.3,1.1,1.0,285.7,5.8,D,0,2021-01-25 21:00:00,260.0,Degrees Compass,0.1,46
37.2601,-120.3525,309.8,1.0,1.0,283.7,12.2,D,0,2021-01-26 19:00:00,10.7,Knots,0.1,69
37.2601,-120.3525,309.8,1.0,1.0,283.7,12.2,D,0,2021-01-26 19:00:00,117.0,Degrees Compass,0.1,69
35.166,-118.8187,306.9,1.0,1.0,291.1,5.0,D,0,2021-01-27 21:00:00,15.7,Knots,0.1,64
35.166,-118.8187,306.9,1.0,1.0,291.1,5.0,D,0,2021-01-27 21:00:00,122.0,Degrees Compass,0.1,64
35.1645,-118.8298,309.9,1.0,1.0,291.1,7.2,D,0,2021-01-27 21:00:00,15.7,Knots,0.1,69
35.1645,-118.8298,309.9,1.0,1.0,291.1,7.2,D,0,2021-01-27 21:00:00,122.0,Degrees Compass,0.1,69
36.6541,-119.655,318.1,1.1,1.0,290.9,16.7,D,0,2021-02-03 21:00:00,4.7,Knots,0.1,78
36.6541,-119.655,318.1,1.1,1.0,290.9,16.7,D,0,2021-02-03 21:00:00,318.5,Degrees Compass,0.1,78
36.699,-119.676,307.2,1.1,1.0,290.2,7.2,D,2,2021-02-03 21:00:00,4.7,Knots,0.1,65
36.699,-119.676,307.2,1.1,1.0,290.2,7.2,D,2,2021-02-03 21:00:00,318.5,Degrees Compass,0.1,65
36.6975,-119.6881,303.9,1.1,1.0,289.8,4.6,D,2,2021-02-03 21:00:00,4.7,Knots,0.1,57
