Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,Sample Measurement,Units of Measure,MDL,Chance_of_fire
36.2597,-119.2597,301.4,1.1,1.1,287.2,4.4,D,0,1/10/2018 21:00,0.2,Knots,0.1,41
36.2597,-119.2597,301.4,1.1,1.1,287.2,4.4,D,0,1/10/2018 21:00,22,Degrees Compass,0.1,41
33.5855,-116.2325,302.5,1.1,1,291.6,3.8,D,0,1/11/2018 19:00,1.6,Knots,0.1,47
33.5855,-116.2325,302.5,1.1,1,291.6,3.8,D,0,1/11/2018 19:00,304.6,Degrees Compass,0.1,47
33.6934,-116.1707,305.5,1.1,1,292.5,4.5,D,0,1/11/2018 19:00,0.7,Knots,0.1,60
33.6934,-116.1707,305.5,1.1,1,292.5,4.5,D,0,1/11/2018 19:00,19,Degrees Compass,1,60
33.5923,-116.2364,305.5,1.1,1,292,5.3,D,0,1/11/2018 19:00,1.6,Knots,0.1,59
33.5923,-116.2364,305.5,1.1,1,292,5.3,D,0,1/11/2018 19:00,304.6,Degrees Compass,0.1,59
34.0925,-117.5337,312.5,1,1,299.6,5.2,D,2,1/12/2018 21:00,5.5,Knots,0.1,68
34.0925,-117.5337,312.5,1,1,299.6,5.2,D,2,1/12/2018 21:00,38,Degrees Compass,1,68
34.0925,-117.5337,312.5,1,1,299.6,5.2,D,2,1/12/2018 21:00,12.3,Knots,0.1,68
34.0925,-117.5337,312.5,1,1,299.6,5.2,D,2,1/12/2018 21:00,36,Degrees Compass,1,68
37.4523,-120.7673,320.7,1,1,288,18.9,D,0,1/19/2018 21:00,5.6,Knots,0.1,80
37.4523,-120.7673,320.7,1,1,288,18.9,D,0,1/19/2018 21:00,308.9,Degrees Compass,0.1,80
36.7741,-119.9073,309.5,1.3,1.1,283.7,14.2,D,0,1/20/2018 19:00,0.6,Knots,0.1,69
36.7741,-119.9073,309.5,1.3,1.1,283.7,14.2,D,0,1/20/2018 19:00,153.5,Degrees Compass,0.1,69
36.7757,-119.9137,314.2,1.3,1.1,284,19.1,D,0,1/20/2018 19:00,0.6,Knots,0.1,74
36.7757,-119.9137,314.2,1.3,1.1,284,19.1,D,0,1/20/2018 19:00,153.5,Degrees Compass,0.1,74
36.7757,-119.9215,302,1.3,1.1,283.6,7.7,D,0,1/20/2018 19:00,0.6,Knots,0.1,44
36.7757,-119.9215,302,1.3,1.1,283.6,7.7,D,0,1/20/2018 19:00,153.5,Degrees Compass,0.1,44
32.7422,-115.4779,310.6,1.1,1.1,300.3,7.4,D,0,1/23/2018 21:00,1.5,Knots,0.1,53
32.7422,-115.4779,310.6,1.1,1.1,300.3,7.4,D,0,1/23/2018 21:00,225,Degrees Compass,0.1,53
36.5777,-119.5104,304.1,1.1,1,290.9,4.6,D,0,1/26/2018 21:00,1.1,Knots,0.1,58
36.5777,-119.5104,304.1,1.1,1,290.9,4.6,D,0,1/26/2018 21:00,222.9,Degrees Compass,0.1,58
36.6929,-119.6998,300,1.1,1,288.3,2.7,D,0,1/26/2018 21:00,1.4,Knots,0.1,12
36.6929,-119.6998,300,1.1,1,288.3,2.7,D,0,1/26/2018 21:00,283.9,Degrees Compass,0.1,12
35.351,-120.0189,327.3,1,1,298,16,D,0,1/28/2018 21:00,1.6,Knots,0.1,79
35.351,-120.0189,327.3,1,1,298,16,D,0,1/28/2018 21:00,319,Degrees Compass,1,79
37.7688,-121.2319,306.7,1,1,292.8,5.4,D,0,2/10/2018 19:00,5.7,Knots,0.1,64
37.7688,-121.2319,306.7,1,1,292.8,5.4,D,0,2/10/2018 19:00,296,Degrees Compass,0.1,64
36.6846,-119.8269,312.9,1,1,293.3,8.7,D,0,2/10/2018 19:00,2.6,Knots,0.1,72
36.6846,-119.8269,312.9,1,1,293.3,8.7,D,0,2/10/2018 19:00,254.2,Degrees Compass,0.1,72
36.6864,-119.838,309.9,1,1,294.4,6.4,D,0,2/10/2018 19:00,2.6,Knots,0.1,68
36.6864,-119.838,309.9,1,1,294.4,6.4,D,0,2/10/2018 19:00,254.2,Degrees Compass,0.1,68
34.3942,-118.8442,311.4,1,1,294.6,8.6,D,0,2/12/2018 19:00,2.1,Knots,0.1,70
34.3942,-118.8442,311.4,1,1,294.6,8.6,D,0,2/12/2018 19:00,205,Degrees Compass,0.1,70
34.3926,-118.8334,305.2,1,1,292.2,5,D,0,2/12/2018 19:00,2.1,Knots,0.1,19
34.3926,-118.8334,305.2,1,1,292.2,5,D,0,2/12/2018 19:00,205,Degrees Compass,0.1,19
36.9957,-119.7084,303.3,1.1,1,288.5,4.4,D,0,2/12/2018 19:00,3.4,Knots,0.1,36
36.9957,-119.7084,303.3,1.1,1,288.5,4.4,D,0,2/12/2018 19:00,20.9,Degrees Compass,0.1,36
38.2439,-120.6553,300.5,1.2,1.1,284.4,7.1,D,0,2/12/2018 19:00,0.4,Knots,0.1,37
38.2439,-120.6553,300.5,1.2,1.1,284.4,7.1,D,0,2/12/2018 19:00,104,Degrees Compass,1,37
36.2545,-119.2554,310.1,1,1,296.9,5.1,D,0,2/13/2018 21:00,0.8,Knots,0.1,48
36.2545,-119.2554,310.1,1,1,296.9,5.1,D,0,2/13/2018 21:00,49,Degrees Compass,0.1,48
36.2634,-119.2574,310.1,1,1,297.1,4.9,D,0,2/13/2018 21:00,0.8,Knots,0.1,46
36.2634,-119.2574,310.1,1,1,297.1,4.9,D,0,2/13/2018 21:00,49,Degrees Compass,0.1,46
36.614,-119.5063,310.4,1,1,297.2,5.4,D,0,2/13/2018 21:00,2.4,Knots,0.1,69
36.614,-119.5063,310.4,1,1,297.2,5.4,D,0,2/13/2018 21:00,13.8,Degrees Compass,0.1,69
37.6544,-121.3794,303,1.2,1.1,290,5.5,D,0,2/15/2018 19:00,4.4,Knots,0.1,55
37.6544,-121.3794,303,1.2,1.1,290,5.5,D,0,2/15/2018 19:00,239.7,Degrees Compass,0.1,55
37.6568,-121.3931,305.4,1.2,1.1,290.4,7.2,D,0,2/15/2018 19:00,4.4,Knots,0.1,61
37.6568,-121.3931,305.4,1.2,1.1,290.4,7.2,D,0,2/15/2018 19:00,239.7,Degrees Compass,0.1,61
34.6568,-120.3582,307.9,1.6,1.2,295.5,10.3,D,0,2/15/2018 19:00,8.7,Knots,0.1,64
34.6568,-120.3582,307.9,1.6,1.2,295.5,10.3,D,0,2/15/2018 19:00,21,Degrees Compass,0.1,64
34.6568,-120.3582,307.9,1.6,1.2,295.5,10.3,D,0,2/15/2018 19:00,8.9,Knots,0.1,64
34.6568,-120.3582,307.9,1.6,1.2,295.5,10.3,D,0,2/15/2018 19:00,10,Degrees Compass,0.1,64
34.0905,-117.5373,313.1,1.1,1.1,300.9,5.5,D,2,2/15/2018 21:00,12.1,Knots,0.1,55
34.0905,-117.5373,313.1,1.1,1.1,300.9,5.5,D,2,2/15/2018 21:00,22,Degrees Compass,1,55
34.0905,-117.5373,313.1,1.1,1.1,300.9,5.5,D,2,2/15/2018 21:00,12.6,Knots,0.1,55
34.0905,-117.5373,313.1,1.1,1.1,300.9,5.5,D,2,2/15/2018 21:00,26,Degrees Compass,1,55
